B1,B2,B3,B4,B5,I1,I2,I3,I4,I5,N1,N2,N3,N4,N5,G1,G2,G3,G4,G5,O1,O2,O3,O4,O5
1,5,15,14,2,28,29,26,20,27,38,41,FREE,39,42,60,48,57,53,58,75,67,74,61,69
4,1,7,15,10,21,29,18,17,30,40,43,FREE,32,34,59,51,52,55,57,71,65,72,62,75
1,5,8,9,11,24,29,20,16,18,37,38,FREE,44,33,47,60,54,59,50,69,73,72,74,75
15,2,13,4,5,29,21,25,18,28,45,37,FREE,31,43,56,51,52,58,54,64,68,63,62,75
10,1,13,15,8,22,27,20,16,30,42,33,FREE,45,37,57,56,59,53,52,61,62,63,71,68
9,4,15,1,7,30,21,17,20,29,43,41,FREE,38,37,59,60,49,56,47,61,75,63,68,73
3,10,15,8,7,22,27,28,24,20,42,32,FREE,35,39,58,56,47,49,51,68,75,73,72,71
14,11,6,8,15,22,16,30,18,21,37,33,FREE,36,45,57,50,60,53,59,70,74,75,72,64
3,5,11,7,12,26,17,25,30,29,36,34,FREE,43,31,57,50,59,49,53,73,61,72,69,66
7,10,9,11,5,27,30,16,17,28,33,36,FREE,45,37,48,57,50,46,54,64,62,72,68,63
10,4,2,6,15,28,22,20,24,23,45,35,FREE,31,42,50,54,47,56,53,66,62,61,71,64
13,14,5,10,11,17,29,30,18,20,37,34,FREE,40,39,48,46,51,52,58,71,68,66,72,75
7,2,3,10,9,25,16,30,17,18,44,40,FREE,31,41,49,50,57,60,58,73,72,67,74,69
10,11,5,8,2,20,18,24,29,30,31,34,FREE,32,37,49,51,59,54,52,74,65,64,69,73
14,4,3,6,8,16,23,17,28,30,33,34,FREE,45,44,47,53,60,54,57,69,70,62,68,75
6,4,9,7,15,16,17,27,24,18,36,38,FREE,44,40,49,52,50,47,48,61,68,73,64,63
7,3,5,14,1,21,23,20,17,16,36,40,FREE,41,42,57,58,54,46,49,66,61,70,75,65
12,6,9,15,2,26,18,30,29,24,45,44,FREE,35,38,60,50,59,47,46,71,61,66,62,67
8,14,1,13,9,16,30,26,17,27,41,45,FREE,44,39,58,48,51,60,49,73,66,70,63,62
2,8,6,4,7,18,25,21,30,24,31,45,FREE,40,38,53,46,56,50,47,68,70,65,62,74
7,8,3,11,13,23,28,21,29,24,35,36,FREE,38,39,48,47,53,50,49,65,74,67,71,66
14,8,9,12,5,21,18,28,23,24,32,31,FREE,41,40,58,50,47,59,46,61,70,62,65,68
4,15,3,1,6,22,17,18,23,26,41,34,FREE,39,37,59,48,60,54,49,73,72,67,71,63
14,11,7,6,9,28,18,16,27,30,40,34,FREE,32,37,53,50,47,58,49,61,70,75,69,71
3,4,8,13,1,19,17,27,26,29,41,45,FREE,39,44,52,53,51,48,46,75,71,63,64,72
7,14,8,4,3,30,19,26,17,23,37,40,FREE,31,43,56,53,60,49,57,62,74,71,68,64
15,4,10,8,9,22,19,24,28,30,35,31,FREE,40,34,57,54,53,59,47,63,68,64,61,66
2,9,6,1,7,28,27,22,20,17,32,42,FREE,40,36,46,57,55,48,53,66,65,70,75,61
13,1,15,9,5,27,29,30,25,26,38,43,FREE,31,39,49,52,46,47,50,75,71,72,70,73
3,8,5,13,15,28,16,18,17,27,45,33,FREE,43,36,58,59,51,47,46,72,66,74,68,69
6,4,15,1,9,30,22,18,25,24,43,35,FREE,41,37,55,50,60,59,47,71,74,67,63,61
10,11,4,12,6,20,19,24,30,26,31,40,FREE,32,36,58,60,59,57,53,75,68,64,63,74
11,3,7,13,1,27,19,20,24,26,41,37,FREE,45,40,53,51,48,56,55,68,74,73,66,62
5,14,8,15,4,16,18,28,25,24,40,38,FREE,42,36,59,46,53,49,52,70,69,61,67,73
1,6,2,9,13,17,23,19,22,26,31,45,FREE,40,35,47,49,57,53,60,74,63,75,71,70
5,9,2,4,3,24,19,18,23,26,36,44,FREE,40,38,55,50,57,48,54,75,68,72,69,63
13,14,8,3,9,28,26,17,21,20,35,44,FREE,36,43,58,52,59,54,60,64,68,65,74,62
13,7,1,5,14,24,20,25,27,28,41,37,FREE,38,45,46,50,55,54,48,72,61,71,69,62
2,11,3,12,1,16,19,21,26,22,37,41,FREE,33,45,51,52,56,53,49,67,63,62,66,73
13,5,6,1,11,23,22,18,24,16,43,39,FREE,37,31,56,55,46,50,60,63,75,72,68,73
10,12,5,14,8,21,19,28,29,22,44,32,FREE,31,45,54,57,53,50,49,66,69,64,73,71
14,7,1,8,13,29,26,25,27,30,44,36,FREE,33,34,60,53,52,55,54,72,66,69,71,70
14,9,11,13,1,27,17,25,29,26,45,32,FREE,42,40,58,49,60,59,57,63,66,61,72,71
12,8,1,2,7,27,16,18,22,20,31,45,FREE,33,40,52,50,59,56,51,70,69,66,73,67
8,13,14,2,10,27,20,28,23,22,44,32,FREE,42,31,54,46,49,56,60,69,66,63,67,61
8,1,3,13,9,24,17,30,23,21,37,43,FREE,42,33,52,57,47,46,60,71,70,68,73,67
2,1,14,12,7,27,26,19,30,20,38,34,FREE,45,33,53,51,47,57,48,67,63,69,74,62
9,12,6,3,15,22,30,24,26,17,31,42,FREE,45,40,48,56,52,59,54,63,61,70,67,71
14,12,4,9,11,18,26,17,22,19,34,44,FREE,31,37,46,58,54,56,52,64,62,71,61,67
4,15,2,5,9,28,22,20,19,23,45,41,FREE,32,37,52,53,48,55,46,71,74,62,67,65
10,12,8,15,9,29,26,30,28,23,45,31,FREE,37,33,53,52,50,46,55,72,67,71,73,74
8,10,6,1,11,20,17,18,25,23,39,34,FREE,41,31,50,60,53,52,47,61,63,72,67,66
13,12,10,3,15,24,26,19,16,27,41,44,FREE,38,39,59,50,56,48,46,69,63,68,71,74
4,12,6,11,9,20,24,16,17,29,33,43,FREE,34,41,56,46,48,50,54,66,62,71,75,63
12,15,3,6,2,19,20,26,16,30,42,43,FREE,31,40,48,56,58,60,52,62,74,75,66,72
12,15,2,8,11,17,22,26,23,25,42,32,FREE,36,43,53,52,60,55,49,71,68,74,70,67
13,1,5,15,10,28,16,21,22,19,42,44,FREE,35,31,50,51,48,54,56,73,61,71,66,69
6,15,2,8,7,29,23,17,18,22,33,41,FREE,35,32,49,47,51,50,54,63,64,62,75,69
10,3,9,15,1,19,25,18,22,20,40,33,FREE,45,36,49,56,51,60,54,61,64,70,68,69
5,14,10,15,2,21,19,18,22,27,31,32,FREE,41,42,55,51,57,47,53,64,71,67,73,63
1,15,8,14,9,27,16,25,26,22,36,39,FREE,42,34,51,52,55,60,48,72,61,64,69,66
11,4,1,2,8,23,18,22,20,19,41,38,FREE,45,33,49,55,47,59,56,61,63,67,72,73
14,5,12,11,8,23,26,25,24,20,39,38,FREE,32,43,54,59,46,49,48,70,62,74,64,71
4,10,3,12,13,27,16,20,17,23,32,45,FREE,43,34,54,50,57,51,48,69,70,66,61,75
1,4,14,8,5,16,21,24,25,22,45,39,FREE,44,38,60,54,55,49,52,71,72,69,66,63
12,3,13,8,15,16,25,18,24,28,40,31,FREE,34,42,53,60,59,56,47,68,69,73,70,75
6,3,8,1,9,19,22,17,24,25,37,35,FREE,40,44,51,49,56,46,52,72,71,61,73,68
14,1,10,13,9,24,30,19,26,20,31,44,FREE,42,36,50,57,46,48,60,64,66,71,69,75
1,13,6,12,2,21,29,26,17,22,31,43,FREE,41,35,47,48,59,50,53,65,64,73,62,68
12,7,3,9,11,20,22,28,19,23,38,39,FREE,43,41,49,55,60,58,46,73,62,68,70,65
10,13,1,2,14,19,20,22,27,17,34,43,FREE,42,39,56,54,46,52,49,72,63,75,68,69
4,8,11,3,10,27,25,16,18,22,39,37,FREE,36,31,51,49,59,55,48,71,66,73,75,61
11,2,10,4,5,30,17,20,18,29,42,37,FREE,40,35,47,53,50,46,57,75,63,68,64,66
2,14,6,8,4,23,24,20,19,25,40,36,FREE,35,44,54,55,52,47,49,72,62,70,71,66
2,4,6,13,5,30,19,16,22,18,33,37,FREE,45,39,59,57,51,56,48,63,62,67,72,61
8,3,12,2,9,22,19,21,16,27,31,41,FREE,34,45,49,54,59,60,56,65,63,72,73,75
